cuadrilla_id,orden_visita,transformador_id,lat,lon,riesgo_predicho,accion_recomendada,prioridad_operativa,ventana_atencion_horas,temperatura_actual,porcentaje_carga,dias_desde_mantenimiento,distancia_desde_anterior_km,distancia_acumulada_km
Cuadrilla 1,1,TR-00495,-34.9253755961085,-58.6461529603294,Alto,Mantenimiento urgente,1,24,37.2,0.372,201,1.12,1.12
Cuadrilla 1,2,TR-00209,-34.9195273433014,-58.6341660716775,Alto,Mantenimiento urgente,1,24,35.7,1.264,115,1.27,2.4
Cuadrilla 1,3,TR-00883,-34.9058714476785,-58.6186640287185,Alto,Mantenimiento urgente,1,24,36.1,0.429,322,2.07,4.47
Cuadrilla 1,4,TR-00531,-34.901688332795,-58.6039172075948,Alto,Mantenimiento urgente,1,24,37.4,0.982,212,1.42,5.89
Cuadrilla 1,5,TR-00228,-34.922663071222,-58.6628545306075,Alto,Mantenimiento urgente,1,24,35.6,0.383,174,5.86,11.75
Cuadrilla 1,6,TR-00719,-34.9225717967745,-58.6646444976604,Alto,Mantenimiento urgente,1,24,37.0,1.018,356,0.16,11.92
Cuadrilla 1,7,TR-00540,-35.0403111202005,-58.737683532459,Alto,Mantenimiento urgente,1,24,35.7,1.571,235,14.69,26.6
Cuadrilla 2,1,TR-00950,-34.8322086024511,-58.4398476027649,Alto,Mantenimiento urgente,1,24,37.4,1.399,184,1.4,1.4
Cuadrilla 2,2,TR-00971,-34.8309878561364,-58.4374146371126,Alto,Mantenimiento urgente,1,24,37.0,1.193,145,0.26,1.66
Cuadrilla 2,3,TR-00340,-34.8353874424148,-58.4382246989318,Alto,Mantenimiento urgente,1,24,36.4,1.491,103,0.49,2.15
Cuadrilla 2,4,TR-00120,-34.833215592403,-58.4202691897351,Alto,Mantenimiento urgente,1,24,36.2,0.256,198,1.66,3.81
Cuadrilla 2,5,TR-00781,-34.8345951301632,-58.4071757740656,Alto,Mantenimiento urgente,1,24,38.5,1.455,425,1.2,5.01
Cuadrilla 2,6,TR-00189,-34.8589585056832,-58.4135949316896,Alto,Mantenimiento urgente,1,24,40.1,1.516,186,2.77,7.79
Cuadrilla 2,7,TR-00681,-34.8606242758467,-58.4170106079235,Alto,Mantenimiento urgente,1,24,37.6,0.698,384,0.36,8.15
Cuadrilla 2,8,TR-00934,-34.8385672071647,-58.4627003493571,Alto,Mantenimiento urgente,1,24,37.1,0.984,288,4.84,12.99
Cuadrilla 2,9,TR-00496,-34.8414897056621,-58.4819863701788,Alto,Mantenimiento urgente,1,24,40.8,0.65,482,1.79,14.77
Cuadrilla 2,10,TR-00289,-34.8391760827387,-58.48487452696,Alto,Mantenimiento urgente,1,24,36.8,1.467,287,0.37,15.14
Cuadrilla 2,11,TR-00056,-34.8378093063023,-58.4840676474699,Alto,Mantenimiento urgente,1,24,35.6,2.353,149,0.17,15.31
Cuadrilla 2,12,TR-00976,-34.8402167000006,-58.4966715917719,Alto,Mantenimiento urgente,1,24,34.7,0.658,219,1.18,16.49
Cuadrilla 2,13,TR-00295,-34.9023191510538,-58.4575664945664,Alto,Mantenimiento urgente,1,24,37.4,0.97,487,7.77,24.27
Cuadrilla 2,14,TR-00337,-34.912538204022,-58.5192561249622,Alto,Mantenimiento urgente,1,24,42.6,0.966,335,5.74,30.0
Cuadrilla 2,15,TR-00096,-34.8088414133509,-58.4139735328695,Alto,Mantenimiento urgente,1,24,36.2,0.99,85,15.01,45.01
Cuadrilla 2,16,TR-00560,-34.751383470175,-58.4600071443687,Alto,Mantenimiento urgente,1,24,38.5,1.338,272,7.65,52.66
Cuadrilla 2,17,TR-00241,-34.7323857099964,-58.4768984548411,Alto,Mantenimiento urgente,1,24,37.6,0.841,512,2.62,55.28
Cuadrilla 2,18,TR-00265,-34.7016621150844,-58.4598753444219,Alto,Mantenimiento urgente,1,24,36.0,1.375,166,3.75,59.03
Cuadrilla 3,1,TR-00213,-34.8048921351598,-58.216032298467,Alto,Mantenimiento urgente,1,24,37.8,1.173,320,2.24,2.24
Cuadrilla 3,2,TR-00506,-34.8158003848538,-58.1990308445178,Alto,Mantenimiento urgente,1,24,36.6,0.622,222,1.97,4.21
Cuadrilla 3,3,TR-00558,-34.8355993012277,-58.2178332324395,Alto,Mantenimiento urgente,1,24,36.4,1.77,348,2.79,7.0
Cuadrilla 3,4,TR-00288,-34.8356933655707,-58.2292769181712,Alto,Mantenimiento urgente,1,24,41.0,0.496,504,1.04,8.04
Cuadrilla 3,5,TR-00009,-34.839123862093,-58.2346919952219,Alto,Mantenimiento urgente,1,24,37.5,1.567,186,0.62,8.67
Cuadrilla 3,6,TR-00296,-34.8514407439143,-58.2206001053751,Alto,Mantenimiento urgente,1,24,36.7,1.708,301,1.88,10.55
Cuadrilla 3,7,TR-00882,-34.8301160107975,-58.2573118853547,Alto,Mantenimiento urgente,1,24,36.6,1.067,209,4.1,14.65
Cuadrilla 3,8,TR-00003,-34.8212150458535,-58.2665300661848,Alto,Mantenimiento urgente,1,24,35.1,0.728,320,1.3,15.95
Cuadrilla 3,9,TR-00947,-34.8210654897633,-58.2837878464897,Alto,Mantenimiento urgente,1,24,38.8,1.103,244,1.58,17.53
Cuadrilla 3,10,TR-00509,-34.8130702343097,-58.2910262043968,Alto,Mantenimiento urgente,1,24,36.6,1.028,267,1.11,18.63
Cuadrilla 3,11,TR-00505,-34.8014490684669,-58.3036305468646,Alto,Mantenimiento urgente,1,24,37.6,1.327,168,1.73,20.36
Cuadrilla 3,12,TR-00650,-34.7790180984768,-58.2366028818812,Alto,Mantenimiento urgente,1,24,41.4,0.219,237,6.61,26.97
Cuadrilla 3,13,TR-00696,-34.782829998339,-58.231984156755,Alto,Mantenimiento urgente,1,24,36.8,0.955,405,0.6,27.57
Cuadrilla 3,14,TR-00163,-34.7786400090489,-58.2261039642699,Alto,Mantenimiento urgente,1,24,37.9,1.209,325,0.71,28.28
Cuadrilla 3,15,TR-00152,-34.7808518388816,-58.2245587075432,Alto,Mantenimiento urgente,1,24,36.0,0.963,260,0.28,28.57
Cuadrilla 3,16,TR-00427,-34.7536572318854,-58.1856342382015,Alto,Mantenimiento urgente,1,24,40.4,0.966,263,4.67,33.23
Cuadrilla 3,17,TR-00259,-34.7470039978928,-58.264411179444,Alto,Mantenimiento urgente,1,24,37.2,1.49,148,7.24,40.47
Cuadrilla 4,1,TR-00636,-34.6865256788741,-58.316088473557,Alto,Mantenimiento urgente,1,24,37.6,0.94,403,0.58,0.58
Cuadrilla 4,2,TR-00353,-34.6829899048846,-58.3076987284049,Alto,Mantenimiento urgente,1,24,33.6,0.241,209,0.86,1.45
Cuadrilla 4,3,TR-00980,-34.6757217308604,-58.3084787468589,Alto,Mantenimiento urgente,1,24,41.1,0.975,242,0.81,2.26
Cuadrilla 4,4,TR-00321,-34.6808820389488,-58.3241650606854,Alto,Mantenimiento urgente,1,24,35.8,2.889,226,1.54,3.8
Cuadrilla 4,5,TR-00190,-34.6799325708908,-58.3253741491386,Alto,Mantenimiento urgente,1,24,36.3,3.257,68,0.15,3.96
Cuadrilla 4,6,TR-00229,-34.6789764955693,-58.3265781575327,Alto,Mantenimiento urgente,1,24,41.5,0.958,131,0.15,4.11
Cuadrilla 4,7,TR-00842,-34.6691548211729,-58.3395733746649,Alto,Mantenimiento urgente,1,24,38.0,1.25,136,1.61,5.72
Cuadrilla 4,8,TR-00832,-34.6573831021096,-58.3380485541451,Alto,Mantenimiento urgente,1,24,37.6,1.802,118,1.32,7.04
Cuadrilla 4,9,TR-00791,-34.6568211494271,-58.3322123160336,Alto,Mantenimiento urgente,1,24,39.2,0.998,212,0.54,7.58
Cuadrilla 4,10,TR-00081,-34.6625318337367,-58.3246358725832,Alto,Mantenimiento urgente,1,24,35.8,3.103,143,0.94,8.52
Cuadrilla 4,11,TR-00647,-34.645421494522,-58.3310228038019,Alto,Mantenimiento urgente,1,24,39.7,2.095,319,1.99,10.51
Cuadrilla 4,12,TR-00514,-34.6949965500293,-58.3056777183219,Alto,Mantenimiento urgente,1,24,36.3,0.367,273,5.98,16.49
Cuadrilla 4,13,TR-00699,-34.719581775644,-58.2904186742953,Alto,Mantenimiento urgente,1,24,35.0,0.323,208,3.07,19.56
Cuadrilla 4,14,TR-00111,-34.7031642183255,-58.2716029002061,Alto,Mantenimiento urgente,1,24,34.9,0.836,371,2.51,22.06
Cuadrilla 4,15,TR-00311,-34.6887804501737,-58.2713687967072,Alto,Mantenimiento urgente,1,24,36.3,0.239,371,1.6,23.66
Cuadrilla 4,16,TR-00602,-34.7500644008708,-58.3382058054452,Alto,Mantenimiento urgente,1,24,38.2,1.24,503,9.15,32.81
Cuadrilla 4,17,TR-00642,-34.756688873677,-58.3351307826971,Alto,Mantenimiento urgente,1,24,33.4,0.492,382,0.79,33.6
Cuadrilla 4,18,TR-00850,-34.7592116263956,-58.3329446931632,Alto,Mantenimiento urgente,1,24,36.8,1.391,233,0.34,33.95
