transformador_id,lat,lon,region,densidad_poblacional,temperatura_actual,dias_desde_mantenimiento,antiguedad_anios,capacidad_kva,hogares_estimados,carga_estimada_kw,porcentaje_carga,fallas_ultimos_12_meses,riesgo_score_simulado,riesgo_clase,requiere_revision,riesgo_predicho,probabilidad_alto,probabilidad_bajo,probabilidad_medio,probabilidad_maxima
TR-00001,-34.8346678196048,-58.2132632943315,Provincia,7022.0,32.3,263,24,315,141,187.8,0.648,0,0.327,Medio,1,Bajo,0.0192,0.5968,0.384,0.5968
TR-00002,-34.8184022939347,-58.4110733119755,Provincia,5012.0,31.6,401,5,400,121,178.1,0.484,0,0.269,Medio,1,Medio,0.022,0.0808,0.8972,0.8972
TR-00003,-34.8212150458535,-58.2665300661848,Provincia,5957.0,35.1,320,31,315,124,210.9,0.728,3,0.457,Alto,1,Alto,0.8856,0.0135,0.1009,0.8856
TR-00004,-34.7223093141387,-58.2288643256008,Provincia,9102.0,34.5,96,22,315,104,194.8,0.672,2,0.341,Medio,1,Medio,0.0519,0.3134,0.6347,0.6347
TR-00005,-34.719164501066,-58.2322957033684,Provincia,7209.0,29.2,114,15,315,136,233.3,0.805,0,0.246,Bajo,0,Bajo,0.0162,0.7782,0.2056,0.7782
TR-00006,-34.8489303263608,-58.46813184493,Provincia,8221.0,37.3,294,24,500,140,136.2,0.296,1,0.369,Medio,1,Medio,0.0456,0.3072,0.6472,0.6472
TR-00007,-34.8182582580664,-58.2784457250442,Provincia,9210.0,33.4,193,6,500,97,205.7,0.447,1,0.269,Bajo,0,Bajo,0.0078,0.8087,0.1835,0.8087
TR-00008,-34.6815046519467,-58.3126095163329,Provincia,6075.0,30.1,105,12,1000,50,73.3,0.08,0,0.076,Bajo,0,Bajo,0.0322,0.917,0.0508,0.917
TR-00009,-34.839123862093,-58.2346919952219,Provincia,9469.0,37.5,186,24,250,168,360.4,1.567,2,0.54,Alto,1,Alto,0.9738,0.0026,0.0236,0.9738
TR-00010,-34.6849422637533,-58.3021946425167,Provincia,8337.0,35.7,299,1,315,124,174.1,0.601,0,0.285,Bajo,0,Bajo,0.0726,0.5802,0.3472,0.5802
TR-00011,-34.7492817366499,-58.2690550483734,Provincia,3496.0,29.7,208,18,1000,39,37.6,0.041,0,0.161,Bajo,0,Bajo,0.0046,0.9432,0.0522,0.9432
TR-00012,-34.8391236809908,-58.4861211788589,Provincia,11527.0,39.4,251,18,500,161,198.9,0.432,1,0.393,Medio,1,Medio,0.0557,0.4069,0.5374,0.5374
TR-00013,-34.7198731668589,-58.2252517566347,Provincia,5698.0,35.8,217,28,400,106,155.8,0.423,0,0.3,Bajo,0,Bajo,0.0176,0.7223,0.2601,0.7223
TR-00014,-34.8148637456976,-58.3545239796739,Provincia,2235.0,33.7,173,3,400,54,74.4,0.202,2,0.238,Bajo,0,Bajo,0.1227,0.7801,0.0971,0.7801
TR-00015,-34.9144591657416,-58.7133287359054,Provincia,4065.0,38.8,274,25,160,39,86.6,0.588,0,0.368,Medio,1,Medio,0.0606,0.3347,0.6047,0.6047
TR-00016,-34.7804662327788,-58.4223162451638,Provincia,4137.0,34.2,99,10,800,125,214.7,0.292,1,0.225,Bajo,0,Bajo,0.0093,0.8467,0.1439,0.8467
TR-00017,-34.8249095764975,-58.3797531530073,Provincia,7357.0,33.6,163,11,500,142,219.2,0.477,0,0.309,Bajo,0,Bajo,0.005,0.8837,0.1113,0.8837
TR-00018,-34.9229456008779,-58.6611357650899,Provincia,6378.0,31.6,348,5,400,97,141.4,0.384,0,0.252,Medio,1,Medio,0.0216,0.0799,0.8985,0.8985
TR-00019,-34.7513697351653,-58.4600872751453,Provincia,6190.0,35.6,115,6,400,95,127.1,0.345,0,0.186,Bajo,0,Bajo,0.0142,0.8851,0.1007,0.8851
TR-00020,-34.8267311606591,-58.4288163957117,Provincia,9059.0,35.2,246,17,315,146,198.7,0.686,1,0.42,Medio,1,Medio,0.0428,0.2531,0.7041,0.7041
TR-00021,-34.8242657169114,-58.4157371739486,Provincia,8220.0,33.7,200,6,315,99,200.8,0.693,0,0.236,Bajo,0,Bajo,0.009,0.828,0.163,0.828
TR-00022,-34.8065133495486,-58.1946011595228,Provincia,8148.0,31.2,191,19,500,134,202.8,0.441,0,0.226,Bajo,0,Bajo,0.0138,0.8952,0.091,0.8952
TR-00023,-34.7587859236634,-58.2559678087841,Provincia,8429.0,34.1,363,9,400,96,123.9,0.337,0,0.294,Medio,1,Medio,0.0114,0.103,0.8856,0.8856
