tipo,geojson,geom
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4357700877657,-34.8301754553104]}",0101000020E6100000B2C37150C7374DC000407730436A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4350065383824,-34.8297982521268]}",0101000020E6100000FEF2534BAE374DC0D39441D4366A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4342588268248,-34.829428865151]}",0101000020E6100000199B11CB95374DC04E179DB92A6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4876513639293,-34.8342626970164]}",0101000020E61000008EF6215C6B3E4DC0A1FABB1EC96A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4870125393664,-34.8348824399415]}",0101000020E610000005A9486D563E4DC0DBC6836DDD6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4863933648686,-34.8354832593208]}",0101000020E61000000A8D4523423E4DC0AE918D1DF16A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4327797306064,-34.8326775151452]}",0101000020E6100000C5A9825365374DC0DDD4432D956A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4334553024146,-34.8330137656948]}",0101000020E610000003139E767B374DC07163F031A06A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4341308798013,-34.8333500126195]}",0101000020E61000001677C59991374DC037299536AB6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.434961791518,-34.8337635634208]}",0101000020E610000023CAF6D3AC374DC08FBEB2C3B86A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4357655756498,-34.8341636034122]}",0101000020E6100000BC11982AC7374DC0A1157ADFC56A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.436600246942,-34.8345790062034]}",0101000020E610000048055384E2374DC037C9207CD36A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4374105974028,-34.8349822955565]}",0101000020E610000066620912FD374DC0C2132AB3E06A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4382246989318,-34.8353874424148]}",0101000020E6100000191B37BF17384DC09354C8F9ED6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4391305133823,-34.8358382203251]}",0101000020E610000085D3BC6D35384DC088852EBFFC6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4305008048299,-34.8343011294756]}",0101000020E6100000B8D27EA61A374DC0850E2161CA6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4314668852955,-34.8329398589972]}",0101000020E61000005ED3904E3A374DC0C9F6F6C59D6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4309866093452,-34.833616605992]}",0101000020E61000006C13B8912A374DC0AB11EEF2B36A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4228025016829,-34.8315584150604]}",0101000020E610000094B272641E364DC0ECB29281706A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4235977508145,-34.8319543603899]}",0101000020E61000002C347B7338364DC0D0D1007B7D6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4243930077053,-34.8323503006982]}",0101000020E6100000685F948252364DC0402864748A6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4251910791646,-34.8327476333894]}",0101000020E61000000DC849A96C364DC04A9D7579976A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4259891584377,-34.8331449610324]}",0101000020E610000063F80FD086364DC00F3B7C7EA46A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4267844386171,-34.8335408862396]}",0101000020E6100000AB265BDFA0364DC09923BF77B16A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4275703701751,-34.8339321485654]}",0101000020E610000005523AA0BA364DC0EA95E449BE6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4283563093001,-34.834323405995]}",0101000020E610000053BD2961D4364DC09C84FF1BCB6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4291422559924,-34.8347146585104]}",0101000020E6100000D1682922EE364DC0A7E50FEED76A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4208245179765,-34.832475253105]}",0101000020E61000003408EB93DD354DC06168918C8E6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4213566530043,-34.8317454882169]}",0101000020E6100000844DCA03EF354DC05B3EDBA2766A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4162092048116,-34.8309581014685]}",0101000020E6100000E07ADD5746354DC0A913C7D55C6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4170231455256,-34.8313947427402]}",0101000020E610000092DAB10361354DC05A1197246B6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4179529195957,-34.831902061091]}",0101000020E61000003677347B7F354DC030EE48C47B6A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.4186861084799,-34.8322532819251]}",0101000020E6100000FB9AA38197354DC0B6ED8946876A41C0
Alineacion AT,"{""type"":""Point"",""coordinates"":[-58.419505152576,-34.8326777519739]}",0101000020E6100000A6684758B2354DC0D66A402F956A41C0
